number,name,address,bike_stands,available_bike_stands,available_bikes,lat,lon,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,5,15,46.556731,15.64212,13.6,78,12.6,0.0,0.0,960.5
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,18,2,46.56196,15.650235,13.1,86,11.5,0.0,0.0,958.7
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,9,11,46.560227,15.650781,13.1,86,11.5,0.0,0.0,959.2
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,10,12,46.561422,15.637118,13.6,78,12.5,0.0,0.0,958.8
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,6,10,46.56294,15.644185,13.6,78,12.5,0.0,0.0,958.5
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,10,10,46.558534,15.654739,13.1,86,11.6,0.0,0.0,959.8
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,13.6,78,12.6,0.0,0.0,960.8
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,13,7,46.548853,15.645591,13.2,79,11.6,0.0,0.0,958.7
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,13.6,69,12.5,0.0,0.0,958.3
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,13.2,79,11.6,0.0,0.0,958.9
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,14,6,46.554741,15.659814,13.2,86,11.7,0.0,0.0,962.1
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,11,9,46.565603,15.623133,13.9,74,13.4,0.0,0.0,958.7
11,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,20,13,7,46.56056,15.652935,13.1,86,11.5,0.0,0.0,959.2
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,15,5,46.54199,15.63831,12.4,78,10.2,0.0,0.0,958.4
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,8,12,46.557328,15.646833,12.9,76,11.0,0.0,0.0,959.8
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,14,6,46.558519,15.649072,12.9,76,11.0,0.0,0.0,959.3
