date,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
2024-03-28 21:14:17,9.7,86,7.8,0.0,0.0,974.1
2024-03-28 21:14:17,9.8,86,7.9,0.0,0.0,975.4
2024-03-28 21:14:17,9.8,83,7.5,0.0,0.0,973.8
2024-03-28 21:14:17,9.9,85,8.5,0.0,0.0,972.8
2024-03-28 21:14:17,9.8,83,7.5,0.0,0.0,973.8
2024-03-28 21:14:17,9.8,83,7.4,0.0,0.0,973.1
2024-03-28 21:14:17,9.8,83,7.4,0.0,0.0,973.0
2024-03-28 21:14:17,9.8,83,7.5,0.0,0.0,973.8
2024-03-28 21:14:17,9.1,92,7.8,0.0,0.0,972.7
2024-03-28 21:14:17,9.8,83,7.4,0.0,0.0,973.0
2024-03-28 21:14:17,9.6,86,7.7,0.0,0.0,973.3
2024-03-28 21:14:17,9.1,92,7.8,0.0,0.0,972.8
2024-03-28 21:14:17,9.9,85,8.5,0.0,0.0,972.4
2024-03-28 21:14:17,9.9,83,7.5,0.0,0.0,975.0
2024-03-28 21:14:17,9.6,86,7.7,0.0,0.0,973.0
2024-03-28 21:14:17,9.6,86,7.7,0.0,0.0,973.4
2024-03-28 21:14:17,9.8,83,7.4,0.0,0.0,973.2
2024-03-28 21:14:17,9.8,83,7.4,0.0,0.0,972.9
2024-03-28 21:14:17,9.7,86,7.8,0.0,0.0,974.0
2024-03-28 21:14:17,9.9,83,7.6,0.0,0.0,975.2
2024-03-28 21:14:17,9.1,92,7.8,0.0,0.0,972.8
2024-03-28 21:14:17,9.4,89,8.5,0.0,0.0,972.5
2024-03-28 21:14:17,9.1,92,7.8,0.0,0.0,973.0
2024-03-28 21:14:17,9.9,86,8.0,0.0,0.0,976.4
2024-03-28 21:14:17,9.9,85,8.5,0.0,0.0,972.9
2024-03-28 21:14:17,9.6,86,7.7,0.0,0.0,973.4
2024-03-28 22:13:02,8.4,69,5.2,0.0,0.0,974.5
